1	2007-01-01	1	1	1	1	2007	1167609600	1167695999
2	2007-01-02	2	1	2	1	2007	1167696000	1167782399
3	2007-01-03	3	1	3	1	2007	1167782400	1167868799
4	2007-01-04	4	1	4	1	2007	1167868800	1167955199
5	2007-01-05	5	1	5	1	2007	1167955200	1168041599
6	2007-01-06	6	1	6	1	2007	1168041600	1168127999
7	2007-01-07	7	1	7	1	2007	1168128000	1168214399
8	2007-01-08	1	2	8	1	2007	1168214400	1168300799
9	2007-01-09	2	2	9	1	2007	1168300800	1168387199
10	2007-01-10	3	2	10	1	2007	1168387200	1168473599
11	2007-01-11	4	2	11	1	2007	1168473600	1168559999
12	2007-01-12	5	2	12	1	2007	1168560000	1168646399
13	2007-01-13	6	2	13	1	2007	1168646400	1168732799
14	2007-01-14	7	2	14	1	2007	1168732800	1168819199
15	2007-01-15	1	3	15	1	2007	1168819200	1168905599
16	2007-01-16	2	3	16	1	2007	1168905600	1168991999
17	2007-01-17	3	3	17	1	2007	1168992000	1169078399
18	2007-01-18	4	3	18	1	2007	1169078400	1169164799
19	2007-01-19	5	3	19	1	2007	1169164800	1169251199
20	2007-01-20	6	3	20	1	2007	1169251200	1169337599
21	2007-01-21	7	3	21	1	2007	1169337600	1169423999
22	2007-01-22	1	4	22	1	2007	1169424000	1169510399
23	2007-01-23	2	4	23	1	2007	1169510400	1169596799
24	2007-01-24	3	4	24	1	2007	1169596800	1169683199
25	2007-01-25	4	4	25	1	2007	1169683200	1169769599
26	2007-01-26	5	4	26	1	2007	1169769600	1169855999
27	2007-01-27	6	4	27	1	2007	1169856000	1169942399
28	2007-01-28	7	4	28	1	2007	1169942400	1170028799
29	2007-01-29	1	5	29	1	2007	1170028800	1170115199
30	2007-01-30	2	5	30	1	2007	1170115200	1170201599
31	2007-01-31	3	5	31	1	2007	1170201600	1170287999
32	2007-02-01	4	5	1	2	2007	1170288000	1170374399
33	2007-02-02	5	5	2	2	2007	1170374400	1170460799
34	2007-02-03	6	5	3	2	2007	1170460800	1170547199
35	2007-02-04	7	5	4	2	2007	1170547200	1170633599
36	2007-02-05	1	6	5	2	2007	1170633600	1170719999
37	2007-02-06	2	6	6	2	2007	1170720000	1170806399
38	2007-02-07	3	6	7	2	2007	1170806400	1170892799
39	2007-02-08	4	6	8	2	2007	1170892800	1170979199
40	2007-02-09	5	6	9	2	2007	1170979200	1171065599
41	2007-02-10	6	6	10	2	2007	1171065600	1171151999
